,yearstart,locationabbr,locationdesc,topic,question,datavalueunit,datavaluetype,datavalue,datavaluefootnote,stratificationcategory1,stratification1,geolocation
22985,2019,AL,Alabama,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,71.3,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
23210,2019,AK,Alaska,Disability,Adults with any disability,%,Crude Prevalence,25.6,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
23581,2019,AZ,Arizona,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,44.4,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
23584,2019,AZ,Arizona,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,15.6,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
23593,2019,AL,Alabama,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,42.1,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
23600,2019,AR,Arkansas,Alcohol,Alcohol use among high school students,%,Crude Prevalence,26.6,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
23643,2019,AL,Alabama,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,36.2,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
23782,2019,AZ,Arizona,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,36.1,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
23806,2019,AZ,Arizona,Alcohol,Alcohol use among high school students,%,Crude Prevalence,29.5,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
23889,2019,AL,Alabama,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,11.0,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
23919,2019,AL,Alabama,Mental Health,Depression among adults,%,Crude Prevalence,19.3,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
24056,2019,AZ,Arizona,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,18.9,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
24147,2019,AR,Arkansas,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,36.9,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
24166,2019,AL,Alabama,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,61.3,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
24171,2019,AR,Arkansas,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,77.1,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
24283,2019,AL,Alabama,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,13.9,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
24313,2019,AK,Alaska,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,38.4,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
24390,2019,AL,Alabama,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,43.9,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
24446,2019,AZ,Arizona,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,30.5,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
24524,2019,AZ,Arizona,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,59.7,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
24568,2019,AK,Alaska,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,19.0,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
24660,2019,AR,Arkansas,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,19.4,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
24672,2019,AZ,Arizona,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,18.3,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
24835,2019,AL,Alabama,Arthritis,Arthritis among adults,%,Crude Prevalence,29.9,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
24960,2019,AK,Alaska,Mental Health,Depression among adults,%,Crude Prevalence,12.1,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
24987,2019,AK,Alaska,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,29.7,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
25031,2019,AZ,Arizona,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,34.2,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
25036,2019,AK,Alaska,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,31.2,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
25245,2019,AR,Arkansas,Mental Health,Depression among adults,%,Crude Prevalence,17.7,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
25254,2019,AR,Arkansas,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,45.6,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
25334,2019,AZ,Arizona,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,15.8,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
25363,2019,AK,Alaska,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,16.3,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
25405,2019,AR,Arkansas,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,36.1,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
25504,2019,AK,Alaska,Arthritis,Arthritis among adults,%,Crude Prevalence,24.9,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
25508,2019,AR,Arkansas,Diabetes,Diabetes among adults,%,Crude Prevalence,13.6,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
25522,2019,AZ,Arizona,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,13.2,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
25796,2019,AK,Alaska,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,20.3,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
25847,2019,AR,Arkansas,Asthma,Current asthma among adults,%,Crude Prevalence,7.0,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
25877,2019,AR,Arkansas,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,42.7,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
25891,2019,AR,Arkansas,Disability,Adults with any disability,%,Crude Prevalence,40.0,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
25932,2019,AL,Alabama,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,36.2,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
25957,2019,AK,Alaska,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,27.3,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
25965,2019,AZ,Arizona,Mental Health,Depression among adults,%,Crude Prevalence,21.0,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
26038,2019,AK,Alaska,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,10.3,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
26070,2019,AR,Arkansas,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,69.4,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
26092,2019,AR,Arkansas,Alcohol,Alcohol use among high school students,%,Crude Prevalence,24.0,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
26096,2019,AL,Alabama,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,16.4,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
26105,2019,AL,Alabama,Diabetes,Diabetes among adults,%,Crude Prevalence,13.8,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
26238,2019,AZ,Arizona,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,7.4,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
26380,2019,CO,Colorado,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,6.7,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
26490,2019,AL,Alabama,Alcohol,Alcohol use among high school students,%,Crude Prevalence,24.6,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
26493,2019,AK,Alaska,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,10.7,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
26514,2019,AK,Alaska,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,77.3,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
26623,2019,HI,Hawaii,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,26.1,,Sex,Male,POINT (-157.85774940299973 21.304850435000446)
26699,2019,DE,Delaware,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,8.9,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
26703,2019,DC,District of Columbia,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,8.5,,Sex,Female,POINT (-77.036871 38.907192)
26728,2019,GU,Guam,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,15.2,,Sex,Female,POINT (144.793731 13.444304)
26774,2019,CA,California,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,11.9,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
26850,2019,DE,Delaware,Diabetes,Diabetes among adults,%,Crude Prevalence,11.7,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
26896,2019,DC,District of Columbia,Arthritis,Arthritis among adults,%,Crude Prevalence,20.6,,Sex,Female,POINT (-77.036871 38.907192)
26897,2019,DC,District of Columbia,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,25.0,,Sex,Female,POINT (-77.036871 38.907192)
26918,2019,CO,Colorado,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,11.6,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
26946,2019,DC,District of Columbia,Alcohol,Alcohol use among high school students,%,Crude Prevalence,16.7,,Sex,Male,POINT (-77.036871 38.907192)
26952,2019,CT,Connecticut,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,7.3,,Sex,Male,POINT (-72.64984095199964 41.56266102000046)
26968,2019,GA,Georgia,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,18.1,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
27036,2019,CT,Connecticut,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,60.7,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
27049,2019,HI,Hawaii,Arthritis,Arthritis among adults,%,Crude Prevalence,19.5,,Sex,Male,POINT (-157.85774940299973 21.304850435000446)
27143,2019,GU,Guam,Disability,Adults with any disability,%,Crude Prevalence,27.6,,Sex,Male,POINT (144.793731 13.444304)
27151,2019,CT,Connecticut,Alcohol,Alcohol use among high school students,%,Crude Prevalence,29.2,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
27172,2019,CO,Colorado,Mental Health,Depression among adults,%,Crude Prevalence,20.7,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
27233,2019,GA,Georgia,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.8,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
27253,2019,DE,Delaware,Mental Health,Depression among adults,%,Crude Prevalence,24.0,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
27327,2019,FL,Florida,Disability,Adults with any disability,%,Crude Prevalence,33.5,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
27406,2019,CA,California,Mental Health,Depression among adults,%,Crude Prevalence,18.6,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
27462,2019,CT,Connecticut,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,31.7,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
27539,2019,FL,Florida,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.5,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
27548,2019,HI,Hawaii,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,5.9,,Sex,Male,POINT (-157.85774940299973 21.304850435000446)
27577,2019,CA,California,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.9,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
27626,2019,GU,Guam,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,36.2,,Sex,Female,POINT (144.793731 13.444304)
27635,2019,HI,Hawaii,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,24.9,,Sex,Female,POINT (-157.85774940299973 21.304850435000446)
27649,2019,DC,District of Columbia,Asthma,Current asthma among adults,%,Crude Prevalence,14.7,,Sex,Female,POINT (-77.036871 38.907192)
27655,2019,GA,Georgia,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,76.0,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
27694,2019,DE,Delaware,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,16.0,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
27695,2019,DC,District of Columbia,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,76.3,,Sex,Male,POINT (-77.036871 38.907192)
27720,2019,DE,Delaware,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,29.0,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
27766,2019,GA,Georgia,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,41.4,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
27800,2019,FL,Florida,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,8.7,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
27879,2019,CO,Colorado,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,31.2,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
27959,2019,FL,Florida,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,82.8,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
27976,2019,CO,Colorado,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,21.5,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
27996,2019,FL,Florida,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,44.1,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
28034,2019,CA,California,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,10.5,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
28053,2019,DE,Delaware,Disability,Adults with any disability,%,Crude Prevalence,28.5,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
28054,2019,FL,Florida,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,12.0,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
28102,2019,DC,District of Columbia,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,35.8,,Sex,Female,POINT (-77.036871 38.907192)
28122,2019,GU,Guam,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,76.2,,Sex,Female,POINT (144.793731 13.444304)
28143,2019,FL,Florida,Arthritis,Arthritis among adults,%,Crude Prevalence,28.9,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
28232,2019,CT,Connecticut,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,12.3,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
28247,2019,GU,Guam,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,7.9,,Sex,Male,POINT (144.793731 13.444304)
28248,2019,DC,District of Columbia,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.6,,Sex,Female,POINT (-77.036871 38.907192)
28297,2019,CT,Connecticut,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,73.8,,Sex,Male,POINT (-72.64984095199964 41.56266102000046)
28353,2019,FL,Florida,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,38.8,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
28370,2019,GA,Georgia,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,33.9,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
